Postcode,Latitude,Longitude,Terminated,Population,Households,Built Up Area
NN8 4RL,52.305643,-0.693653,,41,26,Wellingborough
NN8 4RP,52.308536,-0.695944,,82,41,Wellingborough
NN8 4RQ,52.323209,-0.694339,,2,1,Wellingborough
NN8 4RR,52.310932,-0.698016,,62,30,Wellingborough
NN8 4RS,52.31119,-0.6977,,84,40,Wellingborough
NN8 4RT,52.310909,-0.69919,,81,42,Wellingborough
NN8 4RU,52.310775,-0.695981,,57,28,Wellingborough
NN8 4RX,52.310689,-0.69547,,55,33,Wellingborough
NN8 4RY,52.312389,-0.698061,,75,36,Wellingborough
NN8 4RZ,52.312715,-0.699841,,53,26,Wellingborough
NN8 4SA,52.314341,-0.697299,,84,34,Wellingborough
NN8 4SB,52.314237,-0.696804,,55,22,Wellingborough
NN8 4SD,52.314067,-0.693699,,93,43,Wellingborough
NN8 4SE,52.313734,-0.695249,,33,14,Wellingborough
NN8 4SF,52.313964,-0.696548,,68,31,Wellingborough
NN8 4SG,52.313004,-0.695065,,55,36,Wellingborough
NN8 4SH,52.31169,-0.694194,,81,40,Wellingborough
NN8 4SJ,52.311133,-0.694973,,75,38,Wellingborough
NN8 4SL,52.313051,-0.696912,,68,33,Wellingborough
NN8 4SP,52.318471,-0.697589,,41,13,Wellingborough
NN8 4SQ,52.31264,-0.693902,,44,17,Wellingborough
NN8 4ST,52.31809,-0.687506,,1,1,Wellingborough
NN8 4SU,52.31876,-0.696876,,114,36,Wellingborough
NN8 4SW,52.318897,-0.69875,,96,37,Wellingborough
NN8 4SX,52.316422,-0.698515,,95,29,Wellingborough
NN8 4SZ,52.318368,-0.70126,,108,37,Wellingborough
NN8 4TD,52.305422,-0.691179,,4,2,Wellingborough
NN8 4TE,52.311161,-0.68865,,142,48,Wellingborough
NN8 4TF,52.311802,-0.68803,,99,39,Wellingborough
NN8 4TH,52.313001,-0.689989,,115,44,Wellingborough
NN8 4TJ,52.313949,-0.690343,,89,36,Wellingborough
NN8 4TL,52.304782,-0.697917,,33,14,Wellingborough
NN8 4TN,52.313551,-0.68767,,172,64,Wellingborough
NN8 4TP,52.314828,-0.686899,,181,66,Wellingborough
NN8 4TQ,52.316097,-0.690265,,56,41,Wellingborough
NN8 4TS,52.312819,-0.688982,,187,63,Wellingborough
NN8 4TT,52.316113,-0.686054,,129,47,Wellingborough
NN8 4TU,52.315559,-0.689591,,13,9,Wellingborough
NN8 4TW,52.314373,-0.688849,,166,66,Wellingborough
NN8 4TY,52.316309,-0.691535,,76,64,Wellingborough
NN8 4UA,52.309945,-0.686002,,60,21,Wellingborough
NN8 4UB,52.315229,-0.692197,,38,13,Wellingborough
NN8 4UD,52.316113,-0.693286,,119,40,Wellingborough
NN8 4UE,52.315819,-0.693865,,128,40,Wellingborough
NN8 4UF,52.317455,-0.704483,,9,2,Wellingborough
NN8 4UG,52.316124,-0.700841,,77,24,Wellingborough
NN8 4UH,52.314029,-0.691851,,58,30,Wellingborough
NN8 4UJ,52.315402,-0.694848,,102,47,Wellingborough
NN8 4UL,52.3152,-0.69368,,50,37,Wellingborough
NN8 4UN,52.314427,-0.692881,,84,39,Wellingborough
NN8 4UP,52.315632,-0.701824,,62,19,Wellingborough
NN8 4UQ,52.314711,-0.702306,,73,27,Wellingborough
NN8 4UR,52.314714,-0.700193,,83,32,Wellingborough
NN8 4US,52.31697,-0.701726,,43,14,Wellingborough
NN8 4UU,52.315525,-0.699509,,100,34,Wellingborough
NN8 4UW,52.316772,-0.698475,,120,36,Wellingborough
NN8 4UX,52.31646,-0.702739,,92,26,Wellingborough
NN8 4UY,52.315727,-0.703934,,113,33,Wellingborough
NN8 4UZ,52.316831,-0.703814,,62,21,Wellingborough
NN8 5AA,52.30491,-0.702196,,73,26,Wellingborough
NN8 5AB,52.304805,-0.702828,,18,10,Wellingborough
NN8 5AD,52.305525,-0.706696,,21,10,Wellingborough
NN8 5AE,52.305791,-0.705529,,6,3,Wellingborough
NN8 5AF,52.309604,-0.709657,,161,65,Wellingborough
NN8 5AG,52.307711,-0.711736,,35,15,Wellingborough
NN8 5AH,52.306714,-0.703095,,30,15,Wellingborough
NN8 5AJ,52.306426,-0.704411,,29,13,Wellingborough
NN8 5AL,52.307813,-0.70459,,50,23,Wellingborough
NN8 5AP,52.305392,-0.701141,,93,50,Wellingborough
NN8 5AQ,52.305396,-0.704705,,25,8,Wellingborough
NN8 5AS,52.306705,-0.70034,,42,21,Wellingborough
NN8 5AT,52.307726,-0.700794,,48,22,Wellingborough
