Postcode,Latitude,Longitude,Terminated,Population,Households,Built Up Area
NN13 7EN,52.028365,-1.148967,,19,13,Brackley
NN13 7EP,52.025936,-1.149769,,32,3,Brackley
NN13 7EQ,52.024372,-1.152642,,46,16,Brackley
NN13 7ER,52.025043,-1.150718,,88,41,Brackley
NN13 7ET,52.024401,-1.147949,,33,18,Brackley
NN13 7EW,52.024432,-1.149683,,19,7,Brackley
NN13 7EY,52.028556,-1.140699,,16,9,Brackley
NN13 7FA,52.026955,-1.147944,,52,31,Brackley
NN13 7FB,52.024041,-1.146644,,7,7,Brackley
NN13 7FD,52.023396,-1.150737,,21,12,Brackley
NN13 7GG,52.024709,-1.150756,,13,10,Brackley
NN13 7HA,52.024916,-1.149557,,13,7,Brackley
NN13 7HD,52.028692,-1.137169,,7,4,Brackley
NN13 7HE,52.025563,-1.150769,,10,7,Brackley
NN13 7HF,52.0236,-1.151491,,59,25,Brackley
NN13 7HG,52.026212,-1.14841,,81,36,Brackley
NN13 7HH,52.0287,-1.145608,,26,10,Brackley
NN13 7HJ,52.028696,-1.145069,,14,6,Brackley
NN13 7HP,52.028463,-1.148642,,28,14,Brackley
NN13 7HX,52.028306,-1.137249,,23,8,Brackley
NN13 7HY,52.027756,-1.136954,,30,10,Brackley
NN13 7HZ,52.028492,-1.138018,,13,5,Brackley
NN13 7JA,52.028995,-1.137906,,92,41,Brackley
NN13 7NH,52.028391,-1.138997,,18,7,Brackley
NN13 7NJ,52.029713,-1.140196,,120,46,Brackley
NN13 7NL,52.030041,-1.138338,,71,29,Brackley
NN13 7NR,52.032071,-1.145485,,42,37,Brackley
NN13 7TA,52.024099,-1.147226,,26,12,Brackley
NN13 7TY,52.045799,-1.131896,,11,4,
NN13 7US,52.029263,-1.146355,,8,6,Brackley
NN13 7XU,52.02816,-1.135649,,70,23,Brackley
NN13 7XY,52.023718,-1.147933,,1,1,Brackley
NN13 7YH,52.033337,-1.140345,,39,15,Brackley
NN14 1AA,52.436567,-0.688152,,12,8,Geddington
NN14 1AB,52.437164,-0.6909,,16,6,Geddington
NN14 1AD,52.437658,-0.685972,,29,8,Geddington
NN14 1AE,52.438644,-0.683265,,15,14,Geddington
NN14 1AF,52.472896,-0.653505,,14,5,Stanion
NN14 1AG,52.440501,-0.686917,,44,16,Geddington
NN14 1AH,52.438072,-0.685239,,12,4,Geddington
NN14 1AJ,52.436545,-0.683681,,39,18,Geddington
NN14 1AL,52.434913,-0.694674,,124,46,Geddington
NN14 1AN,52.43869,-0.684161,,20,13,Geddington
NN14 1AP,52.43886,-0.686495,,5,2,Geddington
NN14 1AQ,52.440788,-0.684452,,176,68,Geddington
NN14 1AR,52.437828,-0.686703,,12,6,Geddington
NN14 1AS,52.471804,-0.656291,,6,3,Stanion
NN14 1AT,52.436597,-0.690799,,77,29,Geddington
NN14 1AU,52.440018,-0.690418,,82,40,Geddington
NN14 1AW,52.433262,-0.691678,,43,16,Geddington
NN14 1AX,52.437128,-0.685194,,13,4,Geddington
NN14 1AY,52.439311,-0.685055,,78,34,Geddington
NN14 1AZ,52.435591,-0.688682,,114,54,Geddington
NN14 1BA,52.436831,-0.69244,,117,46,Geddington
NN14 1BB,52.440264,-0.688278,,43,17,Geddington
NN14 1BD,52.438817,-0.686717,,78,35,Geddington
NN14 1BE,52.439954,-0.684683,,80,28,Geddington
NN14 1BG,52.439172,-0.682205,,125,56,Geddington
NN14 1BH,52.438342,-0.685202,,10,3,Geddington
NN14 1BJ,52.42245,-0.67588,,22,11,
NN14 1BL,52.440771,-0.682334,,4,2,Geddington
NN14 1BN,52.443659,-0.734214,,28,13,
NN14 1BP,52.425428,-0.691616,,2,1,
NN14 1BQ,52.438641,-0.686252,,2,1,Geddington
NN14 1BS,52.441128,-0.681882,,41,18,Geddington
NN14 1BT,52.474294,-0.657835,,40,22,Stanion
NN14 1BU,52.473131,-0.653659,,10,6,Stanion
NN14 1BW,52.441756,-0.705373,,48,18,
NN14 1BX,52.471565,-0.645712,,4,2,
NN14 1BY,52.47257,-0.657313,,89,36,Stanion
NN14 1BZ,52.472051,-0.655297,,8,6,Stanion
NN14 1DA,52.474692,-0.658838,,39,20,Stanion
NN14 1DB,52.473601,-0.655441,,26,9,Stanion
NN14 1DD,52.471745,-0.657485,,48,24,Stanion
NN14 1DE,52.474175,-0.656852,,41,16,Stanion
NN14 1DF,52.471773,-0.655173,,86,36,Stanion
NN14 1DG,52.471117,-0.659124,,24,9,Stanion
NN14 1DH,52.469607,-0.65917,,43,18,Stanion
NN14 1DJ,52.474145,-0.655027,,36,13,Stanion
NN14 1DL,52.471939,-0.658716,,33,19,Stanion
NN14 1DN,52.47479,-0.656391,,12,6,Stanion
NN14 1DP,52.47537,-0.65845,,22,9,Stanion
NN14 1DQ,52.47216,-0.660005,,14,8,Stanion
NN14 1DR,52.475807,-0.658908,,21,10,Stanion
NN14 1DS,52.474043,-0.659535,,61,29,Stanion
NN14 1DT,52.471146,-0.654559,,124,55,Stanion
NN14 1DU,52.478265,-0.660143,,3,1,
NN14 1DW,52.472293,-0.654215,,21,11,Stanion
NN14 1DX,52.465505,-0.644912,,2,1,
NN14 1DY,52.471054,-0.633215,,3,1,
NN14 1DZ,52.463359,-0.617806,,18,5,
NN14 1EA,52.440904,-0.682771,,19,10,Geddington
NN14 1EB,52.449172,-0.671194,,2,1,
NN14 1ED,52.430497,-0.661489,,3,1,
NN14 1EE,52.355631,-0.776331,,4,2,
NN14 1EF,52.352864,-0.747806,,9,3,
NN14 1EG,52.387743,-0.752477,,8,6,
NN14 1EH,52.363185,-0.744387,,9,3,Pytchley
NN14 1EJ,52.362374,-0.740885,,23,10,Pytchley
NN14 1EL,52.360246,-0.7377,,42,29,Pytchley
NN14 1EN,52.363543,-0.740852,,53,21,Pytchley
NN14 1EP,52.364433,-0.739989,,14,8,Pytchley
NN14 1EQ,52.363708,-0.741111,,4,3,Pytchley
NN14 1ER,52.361202,-0.737203,,102,36,Pytchley
NN14 1ES,52.363081,-0.739719,,10,6,Pytchley
NN14 1ET,52.360987,-0.738927,,55,21,Pytchley
NN14 1EU,52.363346,-0.739242,,11,6,Pytchley
NN14 1EW,52.365184,-0.73543,,89,37,Pytchley
NN14 1EX,52.364358,-0.74309,,24,10,Pytchley
NN14 1EY,52.374279,-0.72499,,4,2,
NN14 1FA,52.435665,-0.68384,,12,4,Geddington
NN14 1FB,52.473955,-0.653354,,39,12,Stanion
NN14 1FD,52.340322,-0.738868,,55,24,Orlingbury
NN14 1FE,52.374631,-0.813207,,7,4,Mawsley Village
NN14 1FG,52.374931,-0.810922,,14,8,Mawsley Village
NN14 1FH,52.434046,-0.690184,,15,4,Geddington
NN14 1FX,52.380562,-0.785031,,10,3,
NN14 1GA,52.373577,-0.812986,,91,35,Mawsley Village
NN14 1GB,52.373601,-0.812706,,12,5,Mawsley Village
NN14 1GD,52.373385,-0.81446,,22,7,Mawsley Village
NN14 1GE,52.373405,-0.817397,,89,27,Mawsley Village
NN14 1GF,52.372086,-0.814921,,8,3,Mawsley Village
NN14 1GG,52.374141,-0.820903,,60,19,Mawsley Village
NN14 1GH,52.373681,-0.82162,,25,9,Mawsley Village
NN14 1GJ,52.372512,-0.818009,,240,81,Mawsley Village
NN14 1GL,52.373356,-0.817898,,14,4,Mawsley Village
NN14 1GN,52.373235,-0.816535,,15,4,Mawsley Village
NN14 1GP,52.372562,-0.817552,,19,5,Mawsley Village
NN14 1GQ,52.372218,-0.818281,,18,4,Mawsley Village
NN14 1GR,52.372641,-0.819166,,18,10,Mawsley Village
NN14 1GS,52.376448,-0.814246,,28,8,Mawsley Village
NN14 1GT,52.375972,-0.815169,,14,7,Mawsley Village
NN14 1GU,52.376302,-0.814896,,33,12,Mawsley Village
NN14 1GW,52.376315,-0.816218,,61,19,Mawsley Village
NN14 1GX,52.37495,-0.812729,,2,1,Mawsley Village
NN14 1GY,52.375697,-0.811915,,56,20,Mawsley Village
NN14 1GZ,52.375493,-0.812244,,24,11,Mawsley Village
NN14 1HA,52.368437,-0.716874,,9,5,
NN14 1HB,52.364109,-0.740792,,14,6,Pytchley
NN14 1HD,52.357093,-0.700624,,66,25,Isham
NN14 1HE,52.35771,-0.707757,,18,8,Isham
NN14 1HF,52.3583,-0.707388,,135,61,Isham
NN14 1HG,52.356494,-0.69935,,7,4,Isham
NN14 1HH,52.357908,-0.702788,,26,9,Isham
NN14 1HJ,52.355471,-0.700305,,11,6,Isham
NN14 1HL,52.356621,-0.700256,,40,23,Isham
NN14 1HN,52.357627,-0.697716,,11,6,Isham
NN14 1HP,52.356181,-0.698683,,76,35,Isham
NN14 1HQ,52.357762,-0.70429,,99,34,Isham
NN14 1HR,52.355145,-0.702531,,15,5,Isham
NN14 1HS,52.357543,-0.709715,,43,18,Isham
NN14 1HT,52.358102,-0.69757,,28,9,Isham
NN14 1HU,52.358623,-0.701078,,28,13,Isham
NN14 1HW,52.352331,-0.720188,,73,24,
NN14 1HX,52.358469,-0.702346,,32,18,Isham
NN14 1HY,52.342092,-0.735868,,4,1,Orlingbury
NN14 1HZ,52.3425,-0.73709,,9,4,Orlingbury
NN14 1JA,52.341833,-0.739369,,23,12,Orlingbury
NN14 1JB,52.340556,-0.738569,,31,13,Orlingbury
NN14 1JD,52.343171,-0.736777,,64,27,Orlingbury
NN14 1JE,52.343194,-0.735499,,23,10,Orlingbury
NN14 1JF,52.341182,-0.742412,,53,20,Orlingbury
NN14 1JG,52.342246,-0.735996,,16,12,Orlingbury
NN14 1JH,52.341453,-0.735784,,33,18,Orlingbury
NN14 1JJ,52.341887,-0.734348,,21,9,Orlingbury
NN14 1JL,52.355098,-0.703223,,13,6,Isham
NN14 1JN,52.356356,-0.699824,,11,6,Isham
NN14 1JP,52.403273,-0.773397,,38,19,
NN14 1JQ,52.343674,-0.740066,,51,20,Orlingbury
NN14 1JR,52.40737,-0.780075,,3,1,
NN14 1JS,52.402796,-0.774204,,90,31,
NN14 1JT,52.402868,-0.771571,,10,4,
NN14 1JU,52.34124,-0.741177,,26,9,Orlingbury
NN14 1JW,52.355304,-0.699017,,12,3,Isham
NN14 1JX,52.398893,-0.796889,,18,8,Loddington
NN14 1JZ,52.39699,-0.800659,,146,68,Loddington
NN14 1LA,52.398124,-0.803435,,86,38,Loddington
NN14 1LB,52.393045,-0.807967,,25,9,
NN14 1LD,52.399173,-0.799688,,47,21,Loddington
NN14 1LE,52.397408,-0.803778,,22,10,Loddington
NN14 1LF,52.396951,-0.804863,,8,4,Loddington
NN14 1LG,52.397543,-0.801143,,62,24,Loddington
NN14 1LH,52.392759,-0.834648,,3,2,
NN14 1LJ,52.406244,-0.817931,,49,17,
NN14 1LL,52.395235,-0.850278,,15,6,
NN14 1LN,52.401961,-0.852588,,3,2,
NN14 1LP,52.401331,-0.803201,,3,1,
NN14 1LQ,52.405133,-0.800762,,3,2,
NN14 1LR,52.36939,-0.777949,,26,7,Broughton (Kettering)
NN14 1LT,52.373966,-0.775385,,12,4,Broughton (Kettering)
NN14 1LU,52.373303,-0.773875,,81,33,Broughton (Kettering)
NN14 1LW,52.409888,-0.833021,,4,1,
NN14 1LX,52.373708,-0.775171,,12,8,Broughton (Kettering)
NN14 1LY,52.368716,-0.775442,,115,41,Broughton (Kettering)
NN14 1LZ,52.369094,-0.775475,,85,34,Broughton (Kettering)
NN14 1NA,52.376653,-0.776074,,30,14,Broughton (Kettering)
NN14 1NB,52.375391,-0.777549,,72,31,Broughton (Kettering)
NN14 1ND,52.374786,-0.77119,,17,8,Broughton (Kettering)
NN14 1NE,52.371401,-0.772459,,108,45,Broughton (Kettering)
NN14 1NF,52.375529,-0.774401,,51,25,Broughton (Kettering)
NN14 1NG,52.373376,-0.776576,,35,11,Broughton (Kettering)
NN14 1NH,52.371198,-0.772905,,24,11,Broughton (Kettering)
NN14 1NJ,52.375599,-0.775927,,29,11,Broughton (Kettering)
NN14 1NL,52.37796,-0.77213,,89,35,Broughton (Kettering)
NN14 1NN,52.371691,-0.773597,,40,20,Broughton (Kettering)
NN14 1NP,52.36916,-0.778382,,70,27,Broughton (Kettering)
NN14 1NQ,52.375672,-0.775117,,46,26,Broughton (Kettering)
NN14 1NR,52.370736,-0.777765,,118,41,Broughton (Kettering)
NN14 1NS,52.370398,-0.778994,,141,55,Broughton (Kettering)
NN14 1NT,52.360699,-0.789585,,7,3,
NN14 1NU,52.372194,-0.774376,,46,24,Broughton (Kettering)
NN14 1NW,52.373701,-0.774099,,11,5,Broughton (Kettering)
NN14 1NX,52.369095,-0.776445,,19,15,Broughton (Kettering)
NN14 1NY,52.37426,-0.774187,,26,21,Broughton (Kettering)
NN14 1NZ,52.374034,-0.773238,,14,13,Broughton (Kettering)
NN14 1PA,52.376378,-0.775626,,72,28,Broughton (Kettering)
NN14 1PB,52.37591,-0.776388,,17,7,Broughton (Kettering)
NN14 1PD,52.370856,-0.77456,,155,62,Broughton (Kettering)
NN14 1PE,52.369748,-0.776059,,49,27,Broughton (Kettering)
NN14 1PF,52.370616,-0.776564,,78,29,Broughton (Kettering)
NN14 1PG,52.368697,-0.777087,,27,12,Broughton (Kettering)
NN14 1PH,52.378982,-0.772675,,90,42,Broughton (Kettering)
NN14 1PJ,52.377614,-0.773374,,35,15,Broughton (Kettering)
NN14 1PL,52.378763,-0.772387,,15,8,Broughton (Kettering)
NN14 1PN,52.378414,-0.773396,,13,8,Broughton (Kettering)
NN14 1PP,52.397846,-0.805295,,13,8,Loddington
NN14 1PQ,52.377178,-0.774194,,5,2,Broughton (Kettering)
NN14 1PR,52.395533,-0.77611,,5,2,
NN14 1PS,52.368548,-0.778296,,35,14,Broughton (Kettering)
NN14 1PT,52.383419,-0.779237,,45,23,
NN14 1PU,52.382439,-0.779235,,17,7,
NN14 1PW,52.37035,-0.775235,,75,31,Broughton (Kettering)
NN14 1PX,52.38101,-0.786223,,59,19,
NN14 1PY,52.384839,-0.783474,,148,56,
NN14 1PZ,52.399403,-0.758351,,10,6,
NN14 1QA,52.43017,-0.780108,,4,1,
NN14 1QB,52.470851,-0.659647,,2,2,Stanion
NN14 1QD,52.378026,-0.774141,,2,1,Broughton (Kettering)
NN14 1QE,52.423147,-0.761802,,53,24,
NN14 1QF,52.423802,-0.733063,,6,3,Kettering
NN14 1QG,52.43322,-0.734042,,2,1,
NN14 1QH,52.341452,-0.739953,,21,7,Orlingbury
NN14 1QJ,52.438613,-0.762839,,18,7,Rushton
NN14 1QL,52.414527,-0.756266,,13,5,
NN14 1QN,52.377481,-0.775361,,7,3,Broughton (Kettering)
NN14 1QP,52.456079,-0.774846,,6,2,
NN14 1QQ,52.415412,-0.750697,,5,2,
NN14 1QR,52.436162,-0.766644,,6,3,
NN14 1QS,52.439505,-0.741984,,4,2,
NN14 1QT,52.442371,-0.753628,,1,1,
NN14 1QU,52.462179,-0.783111,,3,2,
NN14 1QW,52.37441,-0.819853,,82,31,Mawsley Village
NN14 1QX,52.470814,-0.774612,,4,1,
NN14 1QY,52.461505,-0.759578,,29,12,
NN14 1QZ,52.461181,-0.768153,,49,20,
NN14 1RA,52.437574,-0.683268,,22,11,Geddington
NN14 1RB,52.438215,-0.682704,,4,2,Geddington
NN14 1RD,52.438971,-0.760932,,4,2,Rushton
NN14 1RE,52.375259,-0.774365,,12,5,Broughton (Kettering)
NN14 1RF,52.437853,-0.761507,,5,3,Rushton
NN14 1RG,52.438811,-0.767997,,55,25,Rushton
NN14 1RH,52.437919,-0.75921,,39,18,Rushton
NN14 1RJ,52.439131,-0.763354,,65,27,Rushton
NN14 1RL,52.438297,-0.761863,,73,30,Rushton
NN14 1RN,52.440327,-0.756554,,1,1,
NN14 1RP,52.439325,-0.787329,,10,4,
NN14 1RQ,52.437468,-0.760797,,70,30,Rushton
NN14 1RR,52.436406,-0.771007,,2,0,Rushton
NN14 1RU,52.375485,-0.773624,,52,18,Broughton (Kettering)
NN14 1RX,52.416463,-0.799792,,2,1,
NN14 1RY,52.470004,-0.656154,,23,14,Stanion
NN14 1RZ,52.398673,-0.804729,,7,4,Loddington
NN14 1SA,52.36449,-0.739444,,11,4,Pytchley
NN14 1SD,52.364681,-0.785995,,5,2,
NN14 1SE,52.373564,-0.777364,,9,3,Broughton (Kettering)
NN14 1SF,52.434357,-0.691528,,13,5,Geddington
NN14 1SG,52.398293,-0.802755,,4,2,Loddington
NN14 1SH,52.376408,-0.774994,,11,5,Broughton (Kettering)
NN14 1SJ,52.372376,-0.775458,,9,3,Broughton (Kettering)
NN14 1SL,52.375344,-0.771307,,15,5,Broughton (Kettering)
NN14 1SN,52.375858,-0.814511,,97,32,Mawsley Village
NN14 1SP,52.374486,-0.814019,,43,13,Mawsley Village
NN14 1SQ,52.374608,-0.81453,,33,14,Mawsley Village
NN14 1SR,52.373963,-0.814797,,43,13,Mawsley Village
NN14 1ST,52.373556,-0.815454,,26,11,Mawsley Village
NN14 1SU,52.373939,-0.777133,,26,9,Broughton (Kettering)
NN14 1SW,52.370034,-0.814726,,19,5,
NN14 1SX,52.371181,-0.814372,,17,5,
NN14 1SY,52.376118,-0.817178,,41,14,Mawsley Village
NN14 1SZ,52.374173,-0.817788,,18,5,Mawsley Village
NN14 1TA,52.37527,-0.817275,,65,22,Mawsley Village
NN14 1TB,52.374931,-0.816225,,72,22,Mawsley Village
NN14 1TD,52.377128,-0.808542,,70,29,Mawsley Village
NN14 1TE,52.377389,-0.809461,,29,12,Mawsley Village
NN14 1TF,52.376943,-0.807107,,50,21,Mawsley Village
NN14 1TG,52.376342,-0.807271,,60,18,Mawsley Village
NN14 1TH,52.377965,-0.807726,,60,23,Mawsley Village
NN14 1TL,52.417151,-0.741679,,7,2,
NN14 1TN,52.377746,-0.809143,,36,17,Mawsley Village
NN14 1TP,52.378478,-0.809534,,45,16,Mawsley Village
NN14 1TQ,52.377388,-0.811106,,66,26,Mawsley Village
NN14 1TR,52.378978,-0.811034,,204,86,Mawsley Village
NN14 1TS,52.377621,-0.811996,,16,5,Mawsley Village
NN14 1TT,52.378865,-0.810479,,85,36,Mawsley Village
NN14 1TU,52.371436,-0.778466,,21,10,Broughton (Kettering)
NN14 1TW,52.37406,-0.813693,,31,13,Mawsley Village
NN14 1TX,52.377359,-0.810049,,64,19,Mawsley Village
NN14 1TY,52.372874,-0.773197,,10,4,Broughton (Kettering)
NN14 1TZ,52.378697,-0.808118,,2,2,Mawsley Village
NN14 1UF,52.380312,-0.8095,,73,24,Mawsley Village
NN14 1UH,52.37318,-0.77758,,15,6,Broughton (Kettering)
NN14 1UP,52.373525,-0.771005,,12,3,Broughton (Kettering)
NN14 2EQ,52.442761,-0.816821,,38,26,Desborough
NN14 2FB,52.444606,-0.837826,,11,3,Desborough
NN14 2FD,52.444153,-0.838397,,20,8,Desborough
NN14 2FE,52.443796,-0.839598,,17,9,Desborough
NN14 2FF,52.443505,-0.836457,,43,12,Desborough
NN14 2FG,52.443339,-0.837933,,28,13,Desborough
NN14 2FH,52.445158,-0.825408,,79,33,Desborough
NN14 2FJ,52.437688,-0.82009,,9,3,Desborough
NN14 2GA,52.445553,-0.813671,,37,14,Desborough
NN14 2GB,52.446653,-0.813127,,94,36,Desborough
NN14 2GD,52.445442,-0.814219,,27,13,Desborough
NN14 2GE,52.445592,-0.812169,,22,8,Desborough
NN14 2GF,52.446252,-0.813461,,24,8,Desborough
NN14 2GH,52.445759,-0.814519,,10,5,Desborough
NN14 2GJ,52.445938,-0.813484,,23,8,Desborough
NN14 2GL,52.444149,-0.811782,,44,15,Desborough
NN14 2GN,52.444349,-0.812865,,48,20,Desborough
NN14 2GP,52.449037,-0.815917,,157,61,Desborough
NN14 2GQ,52.449788,-0.817295,,60,18,Desborough
NN14 2GY,52.449687,-0.818019,,24,7,Desborough
NN14 2GZ,52.448939,-0.816965,,52,20,Desborough
NN14 2HZ,52.448308,-0.813185,,60,23,Desborough
NN14 2JA,52.447036,-0.823563,,20,7,Desborough
NN14 2JB,52.446804,-0.82279,,14,4,Desborough
NN14 2JD,52.447357,-0.823246,,18,5,Desborough
NN14 2JE,52.445855,-0.821417,,249,93,Desborough
NN14 2JG,52.447039,-0.821121,,79,25,Desborough
NN14 2JH,52.446722,-0.821777,,66,29,Desborough
NN14 2JJ,52.447679,-0.819529,,200,73,Desborough
NN14 2JL,52.448756,-0.819309,,151,67,Desborough
NN14 2JN,52.44821,-0.819737,,35,11,Desborough
NN14 2JP,52.44922,-0.819812,,77,33,Desborough
NN14 2JQ,52.448475,-0.821744,,69,21,Desborough
NN14 2JR,52.4452,-0.82067,,45,21,Desborough
NN14 2JS,52.44822,-0.818898,,46,14,Desborough
NN14 2JT,52.44842,-0.818097,,67,24,Desborough
NN14 2JU,52.448327,-0.814141,,111,46,Desborough
NN14 2JW,52.449372,-0.812805,,28,14,Desborough
NN14 2JX,52.444566,-0.824703,,104,35,Desborough
NN14 2JY,52.444634,-0.827041,,63,26,Desborough
NN14 2JZ,52.443051,-0.832409,,95,46,Desborough
NN14 2LA,52.443377,-0.831694,,76,29,Desborough
NN14 2LB,52.443315,-0.833667,,114,44,Desborough
NN14 2LD,52.446394,-0.832203,,79,31,Desborough
NN14 2LE,52.446735,-0.833284,,72,25,Desborough
NN14 2LF,52.446839,-0.830147,,118,42,Desborough
NN14 2LG,52.445968,-0.831127,,102,30,Desborough
NN14 2LH,52.443463,-0.826102,,62,25,Desborough
NN14 2LJ,52.44503,-0.830842,,151,66,Desborough
NN14 2LL,52.445136,-0.833207,,22,11,Desborough
NN14 2LN,52.447073,-0.837468,,15,5,
NN14 2LP,52.444482,-0.833474,,41,22,Desborough
NN14 2LQ,52.44551,-0.830344,,39,14,Desborough
NN14 2LR,52.440474,-0.832742,,24,10,Desborough
NN14 2LS,52.441079,-0.818707,,6,4,Desborough
NN14 2LT,52.442007,-0.847855,,8,2,
NN14 2LU,52.442574,-0.818724,,30,18,Desborough
NN14 2LW,52.444427,-0.831563,,30,19,Desborough
NN14 2LX,52.441323,-0.819552,,61,38,Desborough
NN14 2LY,52.441153,-0.81785,,7,4,Desborough
NN14 2LZ,52.440615,-0.818821,,28,12,Desborough
NN14 2NA,52.440558,-0.820382,,13,9,Desborough
NN14 2NB,52.441974,-0.821037,,2,1,Desborough
NN14 2ND,52.442259,-0.821425,,6,4,Desborough
NN14 2NE,52.437241,-0.815027,,85,38,Desborough
NN14 2NF,52.44072,-0.822201,,40,33,Desborough
NN14 2NG,52.443969,-0.824366,,76,27,Desborough
NN14 2NH,52.442944,-0.826129,,139,28,Desborough
NN14 2NJ,52.44196,-0.83204,,25,12,Desborough
NN14 2NL,52.441654,-0.825649,,143,48,Desborough
NN14 2NN,52.441501,-0.826535,,136,52,Desborough
NN14 2NP,52.439935,-0.821016,,40,13,Desborough
NN14 2NQ,52.442604,-0.823534,,75,47,Desborough
NN14 2NR,52.440547,-0.819249,,17,12,Desborough
NN14 2NS,52.437254,-0.820823,,32,14,Desborough
NN14 2NT,52.437055,-0.821549,,79,29,Desborough
NN14 2NU,52.437238,-0.826457,,143,58,Desborough
NN14 2NW,52.443291,-0.827518,,68,27,Desborough
NN14 2NX,52.436688,-0.827134,,95,37,Desborough
NN14 2NY,52.437395,-0.824144,,13,5,Desborough
NN14 2NZ,52.437217,-0.823413,,69,33,Desborough
NN14 2PA,52.4365,-0.825447,,95,41,Desborough
NN14 2PB,52.435365,-0.827905,,88,33,Desborough
NN14 2PD,52.441318,-0.821966,,5,1,Desborough
NN14 2PE,52.43711,-0.828064,,12,6,Desborough
NN14 2PH,52.440889,-0.824698,,94,42,Desborough
NN14 2PJ,52.440609,-0.823631,,14,7,Desborough
NN14 2PL,52.440132,-0.818201,,83,36,Desborough
NN14 2PN,52.440148,-0.814597,,32,12,Desborough
NN14 2PP,52.440786,-0.80812,,93,39,Desborough
NN14 2PQ,52.442486,-0.818947,,24,12,Desborough
NN14 2PR,52.441274,-0.806577,,44,19,Desborough
NN14 2PS,52.438422,-0.814466,,105,46,Desborough
NN14 2PT,52.4388,-0.81269,,152,63,Desborough
NN14 2PU,52.439195,-0.809914,,102,41,Desborough
NN14 2PW,52.440655,-0.812067,,69,27,Desborough
NN14 2PX,52.441492,-0.811457,,62,26,Desborough
NN14 2PY,52.439442,-0.807715,,80,36,Desborough
NN14 2PZ,52.440169,-0.806666,,59,26,Desborough
NN14 2QA,52.441825,-0.809549,,66,27,Desborough
NN14 2QB,52.441939,-0.805691,,118,53,Desborough
NN14 2QD,52.442606,-0.807852,,71,26,Desborough
NN14 2QE,52.441742,-0.807565,,41,16,Desborough
NN14 2QF,52.443491,-0.805311,,120,45,Desborough
NN14 2QG,52.439684,-0.804075,,85,31,Desborough
NN14 2QH,52.440133,-0.804887,,37,18,Desborough
NN14 2QJ,52.438646,-0.817961,,38,21,Desborough
NN14 2QL,52.438358,-0.817027,,144,64,Desborough
NN14 2QN,52.439298,-0.797922,,3,1,
NN14 2QP,52.440854,-0.821212,,26,22,Desborough
NN14 2QQ,52.439416,-0.802449,,84,32,Desborough
NN14 2QR,52.43681,-0.811435,,95,42,Desborough
NN14 2QS,52.441595,-0.821516,,2,2,Desborough
NN14 2QT,52.4444,-0.819735,,106,44,Desborough
NN14 2QU,52.444517,-0.821571,,63,25,Desborough
NN14 2QX,52.443857,-0.822074,,50,10,Desborough
NN14 2QY,52.446046,-0.823606,,94,38,Desborough
NN14 2QZ,52.443245,-0.820266,,52,29,Desborough
NN14 2RA,52.443594,-0.820094,,46,26,Desborough
NN14 2RB,52.444029,-0.819524,,57,30,Desborough
NN14 2RD,52.443033,-0.816137,,114,53,Desborough
NN14 2RE,52.443151,-0.815354,,153,72,Desborough
NN14 2RF,52.443254,-0.813983,,76,31,Desborough
NN14 2RG,52.441702,-0.81426,,30,12,Desborough
NN14 2RH,52.441769,-0.816436,,78,37,Desborough
NN14 2RJ,52.442591,-0.813265,,115,43,Desborough
NN14 2RL,52.442538,-0.819874,,43,23,Desborough
NN14 2RN,52.443952,-0.816318,,5,3,Desborough
NN14 2RP,52.444082,-0.814917,,28,11,Desborough
NN14 2RQ,52.4413,-0.812963,,73,30,Desborough
NN14 2RR,52.443512,-0.812814,,58,24,Desborough
NN14 2RS,52.443407,-0.818393,,43,29,Desborough
NN14 2RU,52.44956,-0.819714,,18,8,Desborough
NN14 2RW,52.443614,-0.812208,,33,19,Desborough
NN14 2RX,52.444119,-0.810591,,27,10,Desborough
NN14 2SB,52.437923,-0.821202,,6,2,Desborough
NN14 2SE,52.437907,-0.82591,,24,6,Desborough
NN14 2SF,52.437793,-0.813571,,20,6,Desborough
NN14 2SG,52.436565,-0.815766,,17,7,Desborough
NN14 2SH,52.456373,-0.807996,,2,1,
NN14 2SJ,52.457533,-0.825978,,10,4,
NN14 2SL,52.446144,-0.81164,,5,2,Desborough
NN14 2SN,52.445193,-0.812695,,9,5,Desborough
NN14 2SP,52.462426,-0.809157,,48,20,
NN14 2SQ,52.437696,-0.815574,,42,18,Desborough
NN14 2SS,52.435348,-0.829832,,12,3,Desborough
NN14 2SW,52.447624,-0.806996,,5,2,
NN14 2TF,52.438775,-0.803041,,60,24,Desborough
NN14 2TG,52.439226,-0.803161,,59,19,Desborough
NN14 2TH,52.438071,-0.807252,,113,51,Desborough
NN14 2TP,52.439115,-0.805591,,115,38,Desborough
NN14 2TQ,52.437759,-0.804833,,22,7,Desborough
NN14 2TY,52.446873,-0.827084,,97,34,Desborough
NN14 2TZ,52.446761,-0.825719,,135,49,Desborough
NN14 2UA,52.436773,-0.814084,,48,20,Desborough
NN14 2UB,52.440565,-0.817646,,2,1,Desborough
NN14 2UD,52.436631,-0.81244,,28,11,Desborough
NN14 2UE,52.44456,-0.835885,,22,11,Desborough
NN14 2UG,52.457154,-0.834832,,2,1,
NN14 2UN,52.436848,-0.817053,,58,21,Desborough
